GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
1400000US42003050100,42003050100,"Census Tract 501, Allegheny County, Pennsylvania",626,161,37,35,55,49,275,105,149,76,39,29,45,31,26,17,250,88,0,10,16,24,109,57,55,43,30,29,29,25,11,11,89,51,16,25,6,9,52,40,10,12,0,10,5,8,0,10,226,107,21,26,23,34,98,62,54,54,9,21,6,10,15,15,61,36,0,10,10,14,16,15,30,29,0,10,5,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1400000US42003050600,42003050600,"Census Tract 506, Allegheny County, Pennsylvania",669,162,8,12,40,49,255,113,205,90,58,53,33,34,70,35,304,97,8,12,0,10,100,91,87,54,41,45,23,27,45,35,55,42,0,10,0,10,26,28,25,32,0,10,4,9,0,10,172,71,0,10,20,27,92,55,43,35,17,26,0,10,0,10,119,117,0,10,20,34,37,63,40,56,0,10,6,10,16,18,10,15,0,10,0,10,0,10,10,15,0,10,0,10,0,10,9,13,0,10,0,10,0,10,0,10,0,10,0,10,9,13
1400000US42003050900,42003050900,"Census Tract 509, Allegheny County, Pennsylvania",237,68,19,25,34,39,140,65,3,8,12,12,13,15,16,18,56,41,0,10,15,23,25,29,3,8,0,10,0,10,13,16,27,33,0,10,0,10,27,33,0,10,0,10,0,10,0,10,125,65,0,10,19,32,78,56,0,10,12,12,13,15,3,6,29,30,19,25,0,10,10,16,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1400000US42003051000,42003051000,"Census Tract 510, Allegheny County, Pennsylvania",567,144,130,102,194,83,154,73,26,23,7,11,41,29,15,24,174,86,22,41,94,62,50,40,3,7,0,10,5,8,0,10,27,33,21,31,0,10,0,10,6,10,0,10,0,10,0,10,147,60,8,15,51,40,51,33,8,11,0,10,29,24,0,10,161,101,65,84,29,28,53,52,0,10,7,11,7,12,0,10,15,24,0,10,0,10,0,10,0,10,0,10,0,10,15,24,43,52,14,28,20,41,0,10,9,14,0,10,0,10,0,10
1400000US42003051100,42003051100,"Census Tract 511, Allegheny County, Pennsylvania",144,68,16,15,23,28,85,60,6,11,0,10,9,14,5,8,40,57,0,10,0,10,40,57,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,99,47,16,15,23,28,45,32,6,11,0,10,9,14,0,10,5,8,0,10,0,10,0,10,0,10,0,10,0,10,5,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1400000US42003060300,42003060300,"Census Tract 603, Allegheny County, Pennsylvania",1451,177,28,29,185,80,852,157,98,46,179,57,64,36,45,36,614,161,0,10,77,65,397,128,59,40,26,30,33,29,22,21,71,45,0,10,0,10,21,24,0,10,40,39,10,16,0,10,282,101,28,29,56,50,146,75,20,23,26,23,6,10,0,10,350,148,0,10,52,42,197,111,19,27,53,36,6,10,23,30,85,62,0,10,0,10,67,60,0,10,9,13,9,14,0,10,49,58,0,10,0,10,24,28,0,10,25,39,0,10,0,10
1400000US42003060500,42003060500,"Census Tract 605, Allegheny County, Pennsylvania",912,131,0,10,95,66,485,113,177,77,40,22,80,35,35,26,524,130,0,10,31,25,280,82,120,68,40,22,43,26,10,11,106,47,0,10,0,10,56,39,41,29,0,10,9,10,0,10,109,86,0,10,0,10,80,80,10,12,0,10,15,16,4,7,125,73,0,10,64,65,48,35,0,10,0,10,13,14,0,10,19,22,0,10,0,10,5,10,0,10,0,10,0,10,14,21,29,27,0,10,0,10,16,24,6,8,0,10,0,10,7,10
1400000US42003070300,42003070300,"Census Tract 703, Allegheny County, Pennsylvania",1238,168,8,14,301,134,742,170,40,37,74,53,30,26,43,44,580,138,0,10,133,101,350,117,21,31,46,37,30,26,0,10,101,66,0,10,31,28,19,22,0,10,19,24,0,10,32,40,192,76,0,10,39,37,144,76,0,10,9,15,0,10,0,10,212,76,0,10,59,40,123,56,19,22,0,10,0,10,11,17,76,56,8,14,38,40,30,27,0,10,0,10,0,10,0,10,77,64,0,10,1,4,76,64,0,10,0,10,0,10,0,10
1400000US42003070500,42003070500,"Census Tract 705, Allegheny County, Pennsylvania",1901,236,15,25,348,148,1202,174,198,83,72,39,28,22,38,31,1006,158,0,10,161,108,668,127,84,35,41,27,14,15,38,31,172,93,15,25,47,45,54,43,56,69,0,10,0,10,0,10,349,101,0,10,87,57,238,82,19,18,5,9,0,10,0,10,195,76,0,10,25,27,147,76,13,14,9,15,1,2,0,10,89,54,0,10,28,26,24,27,20,33,17,19,0,10,0,10,90,78,0,10,0,10,71,75,6,10,0,10,13,13,0,10
1400000US42003070600,42003070600,"Census Tract 706, Allegheny County, Pennsylvania",1410,150,1,2,202,103,906,147,100,49,43,28,55,44,103,64,835,138,0,10,113,79,510,113,79,45,24,22,47,39,62,47,67,47,0,10,6,9,42,37,0,10,0,10,0,10,19,28,332,87,0,10,44,40,238,76,21,20,7,13,0,10,22,31,134,61,1,2,32,38,89,54,0,10,12,15,0,10,0,10,26,22,0,10,0,10,18,20,0,10,0,10,8,12,0,10,16,19,0,10,7,11,9,16,0,10,0,10,0,10,0,10
1400000US42003070800,42003070800,"Census Tract 708, Allegheny County, Pennsylvania",973,145,0,10,185,118,528,132,69,40,68,53,10,16,113,106,575,131,0,10,130,115,236,88,48,39,38,37,10,16,113,106,133,71,0,10,10,15,112,63,11,19,0,10,0,10,0,10,166,67,0,10,22,25,124,57,0,10,20,23,0,10,0,10,65,44,0,10,23,33,22,25,10,16,10,16,0,10,0,10,13,20,0,10,0,10,13,20,0,10,0,10,0,10,0,10,21,24,0,10,0,10,21,24,0,10,0,10,0,10,0,10
1400000US42003070900,42003070900,"Census Tract 709, Allegheny County, Pennsylvania",2567,402,82,63,494,132,1450,386,323,141,76,49,57,48,85,61,855,202,0,10,151,90,441,177,135,71,40,31,48,41,40,32,171,112,13,21,29,33,91,92,9,16,20,26,9,15,0,10,590,165,1,4,121,81,376,139,60,77,0,10,0,10,32,31,598,194,44,52,183,110,283,132,75,53,0,10,0,10,13,22,275,192,0,10,0,10,259,191,0,10,16,24,0,10,0,10,78,76,24,32,10,16,0,10,44,65,0,10,0,10,0,10
1400000US42003080200,42003080200,"Census Tract 802, Allegheny County, Pennsylvania",1079,135,9,11,141,75,616,105,170,56,50,32,62,34,31,26,454,124,4,7,52,36,281,98,42,35,23,22,26,27,26,25,107,59,0,10,0,10,39,37,58,48,6,10,4,6,0,10,239,79,0,10,45,43,140,60,25,22,8,12,21,20,0,10,173,66,5,8,44,35,78,51,23,19,13,16,5,8,5,7,92,55,0,10,0,10,64,43,22,23,0,10,6,9,0,10,14,21,0,10,0,10,14,21,0,10,0,10,0,10,0,10
1400000US42003080400,42003080400,"Census Tract 804, Allegheny County, Pennsylvania",903,135,5,7,340,112,356,93,95,46,25,20,31,23,51,38,268,59,0,10,11,17,126,42,46,35,20,18,18,19,47,36,124,71,0,10,48,34,47,35,25,25,0,10,4,7,0,10,317,98,0,10,210,98,85,45,13,14,0,10,5,7,4,8,124,47,5,7,55,36,44,22,11,12,5,8,4,7,0,10,45,48,0,10,0,10,45,48,0,10,0,10,0,10,0,10,25,23,0,10,16,20,9,10,0,10,0,10,0,10,0,10
1400000US42003080600,42003080600,"Census Tract 806, Allegheny County, Pennsylvania",1415,206,40,43,143,79,891,199,174,72,50,45,67,40,50,33,639,161,0,10,70,50,423,151,61,34,32,28,25,24,28,23,56,33,0,10,13,15,23,21,10,15,0,10,10,16,0,10,229,81,0,10,26,26,140,58,30,32,0,10,11,17,22,23,246,84,14,20,18,20,127,57,48,45,18,22,21,21,0,10,174,99,26,37,16,26,119,83,13,18,0,10,0,10,0,10,71,62,0,10,0,10,59,60,12,18,0,10,0,10,0,10
1400000US42003080700,42003080700,"Census Tract 807, Allegheny County, Pennsylvania",1235,205,20,32,134,56,817,185,103,63,100,98,46,39,15,22,396,138,20,32,45,28,265,116,55,47,11,17,0,10,0,10,98,76,0,10,22,33,64,59,0,10,12,21,0,10,0,10,283,99,0,10,36,32,147,69,12,20,34,51,46,39,8,14,316,112,0,10,22,21,262,104,0,10,32,47,0,10,0,10,95,60,0,10,9,15,79,57,0,10,0,10,0,10,7,17,47,52,0,10,0,10,0,10,36,51,11,18,0,10,0,10
1400000US42003080900,42003080900,"Census Tract 809, Allegheny County, Pennsylvania",1194,138,0,10,195,70,660,121,198,50,72,40,50,30,19,15,484,99,0,10,52,27,257,72,96,52,54,34,21,16,4,7,111,61,0,10,7,12,88,55,12,13,0,10,0,10,4,6,325,94,0,10,61,48,202,74,40,28,6,9,13,15,3,5,158,71,0,10,22,27,60,53,41,28,12,18,16,16,7,7,101,56,0,10,53,37,48,46,0,10,0,10,0,10,0,10,15,16,0,10,0,10,5,8,9,13,0,10,0,10,1,4
1400000US42003090100,42003090100,"Census Tract 901, Allegheny County, Pennsylvania",1015,147,0,10,145,121,594,98,174,56,73,45,20,14,9,11,632,169,0,10,132,120,336,82,79,43,64,42,16,14,5,8,114,46,0,10,0,10,80,44,20,14,6,9,4,6,4,8,137,59,0,10,8,11,61,38,65,42,3,6,0,10,0,10,46,26,0,10,0,10,42,26,4,6,0,10,0,10,0,10,42,35,0,10,0,10,42,35,0,10,0,10,0,10,0,10,44,31,0,10,5,9,33,26,6,11,0,10,0,10,0,10
1400000US42003090200,42003090200,"Census Tract 902, Allegheny County, Pennsylvania",1642,135,15,16,193,121,899,150,186,73,186,106,114,55,49,29,748,145,0,10,81,69,434,100,72,42,69,42,62,32,30,23,185,83,0,10,15,24,74,49,36,38,31,36,19,19,10,15,315,112,0,10,57,72,195,77,20,23,35,50,8,12,0,10,247,79,15,16,25,33,111,64,25,21,44,49,18,20,9,13,112,59,0,10,15,22,69,41,21,33,7,11,0,10,0,10,35,26,0,10,0,10,16,18,12,13,0,10,7,11,0,10
1400000US42003090300,42003090300,"Census Tract 903, Allegheny County, Pennsylvania",860,103,5,7,101,45,586,92,79,44,32,17,24,18,33,23,448,110,0,10,43,25,318,102,24,18,16,14,24,18,23,20,35,26,5,7,0,10,13,18,11,12,6,9,0,10,0,10,196,67,0,10,43,29,132,56,9,12,10,11,0,10,2,4,98,47,0,10,10,12,50,27,30,34,0,10,0,10,8,11,73,46,0,10,0,10,68,43,5,7,0,10,0,10,0,10,10,13,0,10,5,10,5,8,0,10,0,10,0,10,0,10
1400000US42003100500,42003100500,"Census Tract 1005, Allegheny County, Pennsylvania",996,137,0,10,73,44,383,101,221,67,94,49,141,66,84,33,699,138,0,10,46,36,295,90,115,61,78,47,89,56,76,33,137,74,0,10,10,15,30,37,54,32,0,10,35,33,8,11,83,49,0,10,0,10,47,39,27,23,9,12,0,10,0,10,17,27,0,10,0,10,0,10,0,10,0,10,17,27,0,10,33,24,0,10,9,14,4,9,13,14,7,10,0,10,0,10,27,27,0,10,8,12,7,10,12,18,0,10,0,10,0,10
1400000US42003101100,42003101100,"Census Tract 1011, Allegheny County, Pennsylvania",1505,210,99,55,94,67,851,194,166,57,148,64,84,51,63,53,826,156,37,34,42,40,498,137,88,42,71,39,27,29,63,53,106,77,14,20,8,13,26,39,26,24,32,36,0,10,0,10,333,114,33,53,36,41,195,98,8,14,24,35,37,37,0,10,129,64,0,10,8,14,55,44,34,28,12,18,20,22,0,10,41,40,0,10,0,10,41,40,0,10,0,10,0,10,0,10,70,48,15,22,0,10,36,37,10,15,9,14,0,10,0,10
1400000US42003101400,42003101400,"Census Tract 1014, Allegheny County, Pennsylvania",1777,177,19,23,165,97,849,153,468,104,172,74,73,40,31,26,1210,154,7,12,89,83,558,131,326,87,140,63,59,38,31,26,174,68,6,10,0,10,80,47,62,48,26,29,0,10,0,10,303,108,0,10,40,46,175,86,80,67,0,10,8,13,0,10,7,11,0,10,3,6,4,8,0,10,0,10,0,10,0,10,14,16,6,10,8,13,0,10,0,10,0,10,0,10,0,10,69,54,0,10,25,39,32,30,0,10,6,12,6,9,0,10
1400000US42003101600,42003101600,"Census Tract 1016, Allegheny County, Pennsylvania",171,56,0,10,28,23,78,41,8,8,5,7,40,27,12,14,68,32,0,10,5,8,22,17,5,7,5,7,23,19,8,12,13,16,0,10,6,11,7,13,0,10,0,10,0,10,0,10,59,35,0,10,17,19,38,30,0,10,0,10,0,10,4,6,24,22,0,10,0,10,9,11,3,5,0,10,12,19,0,10,5,7,0,10,0,10,0,10,0,10,0,10,5,7,0,10,2,4,0,10,0,10,2,4,0,10,0,10,0,10,0,10
